CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AORA,MTS,JACHAJAKISASOLFESORC,PDC,A-UPP,NGP,LIBRE,SOMOS,JACHA MARKA T.C.A.,PATRIA-ORURO,P.P.,S.A.M. CHALLAPATA,APB-SUMATE,SUMA,UQ,IOTAYAQUIRAMD,FRI,LEAL,UN,MCSFA
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000797,9,3,11,23,3,7,21,9,25,,13,2,,11,,,,2,5,8,8
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000807,10,3,4,33,2,8,25,20,20,,16,0,,0,,,,1,6,7,11
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000817,11,4,8,30,1,9,26,17,22,,17,1,,7,,,,4,1,10,14
1,Cercado,1,Oruro,2059,Oruro,97,U. E. Mcal. Andres De Santa Cruz,4000827,12,2,2,16,0,5,16,12,12,,7,3,,3,,,,1,4,4,4
1,Cercado,1,Oruro,2059,Oruro,99,U. E. Guido Villagomez,4003337,1,6,8,37,4,6,29,6,21,,9,0,,0,,,,3,3,10,3
1,Cercado,1,Oruro,2059,Oruro,99,U. E. Guido Villagomez,4003347,2,4,5,38,1,6,32,5,25,,7,1,,0,,,,2,8,6,6
1,Cercado,1,Oruro,2059,Oruro,99,U. E. Guido Villagomez,4003357,3,6,5,27,2,9,25,10,16,,11,1,,0,,,,1,5,1,9
1,Cercado,1,Oruro,2059,Oruro,99,U. E. Guido Villagomez,4003367,4,2,8,34,1,3,23,9,31,,11,1,,2,,,,1,4,7,3
1,Cercado,1,Oruro,2059,Oruro,99,U. E. Guido Villagomez,4003377,5,1,1,36,1,12,22,18,19,,9,2,,0,,,,1,5,7,11
1,Cercado,1,Oruro,2059,Oruro,100,U. Esc. Sebastian Pagador(Primario),4005537,5,3,4,23,2,10,24,14,23,,12,0,,1,,,,1,5,6,10
1,Cercado,1,Oruro,2059,Oruro,100,U. Esc. Sebastian Pagador(Primario),4005547,6,4,4,34,3,3,20,20,20,,21,2,,0,,,,0,5,5,14
1,Cercado,1,Oruro,2059,Oruro,100,U. Esc. Sebastian Pagador(Primario),4005557,7,1,2,36,2,10,25,10,13,,27,3,,0,,,,2,10,9,12
1,Cercado,1,Oruro,2059,Oruro,100,U. Esc. Sebastian Pagador(Primario),4005567,8,1,2,20,1,5,21,10,25,,12,0,,0,,,,0,4,14,7
1,Cercado,1,Oruro,2059,Oruro,101,Esc. Mixta Ferroviaria,4005577,1,2,4,26,3,9,21,17,23,,10,0,,0,,,,1,7,17,8
1,Cercado,1,Oruro,2059,Oruro,101,Esc. Mixta Ferroviaria,4005647,8,5,3,35,2,7,27,14,21,,27,1,,0,,,,0,8,4,11
1,Cercado,1,Oruro,2059,Oruro,101,Esc. Mixta Ferroviaria,4005657,9,1,1,25,2,15,25,19,26,,22,0,,1,,,,0,9,16,7
