CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,A-UPP,APB-SUMATE,PATRIA,MTS,NGP,CDC,PDC,ISA
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004171,9,0,0,87,12,7,69,20,4
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004181,10,0,0,79,18,7,55,17,3
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004191,11,1,3,72,14,4,77,25,4
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004201,12,6,3,73,8,9,83,15,1
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004221,14,3,2,68,7,11,77,20,5
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004231,15,1,3,83,10,6,60,21,3
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004241,16,1,0,75,16,6,77,16,1
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004251,17,2,2,69,9,3,74,20,4
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004261,18,1,5,75,8,4,78,15,3
1,Cercado,1,Tarija,2680,Tarija,72,U.E. Juan XXIII,6004271,19,1,0,39,5,3,43,12,3
1,Cercado,1,Tarija,2680,Tarija,74,U.E. Castelfort Castellanos,6005491,1,3,2,63,12,12,85,15,0
1,Cercado,1,Tarija,2680,Tarija,74,U.E. Castelfort Castellanos,6005501,2,3,0,68,6,9,77,20,1
1,Cercado,1,Tarija,2680,Tarija,74,U.E. Castelfort Castellanos,6005511,3,2,2,69,5,12,67,25,3
1,Cercado,1,Tarija,2680,Tarija,74,U.E. Castelfort Castellanos,6005521,4,3,2,76,7,8,69,15,1
1,Cercado,1,Tarija,2680,Tarija,74,U.E. Castelfort Castellanos,6005531,5,3,1,56,7,5,80,24,1
1,Cercado,1,Tarija,2680,Tarija,74,U.E. Castelfort Castellanos,6005541,6,3,1,72,4,6,81,22,2
1,Cercado,1,Tarija,2680,Tarija,74,U.E. Castelfort Castellanos,6005551,7,3,2,66,13,5,77,16,5
1,Cercado,1,Tarija,2680,Tarija,74,U.E. Castelfort Castellanos,6005561,8,1,2,87,6,11,64,24,1
1,Cercado,1,Tarija,2680,Tarija,74,U.E. Castelfort Castellanos,6005571,9,1,2,67,6,3,39,22,0
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001521,1,0,2,75,7,8,86,19,5
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001531,2,2,4,69,9,11,63,29,1
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001541,3,4,2,68,10,9,75,24,1
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001561,5,1,1,66,15,2,72,30,3
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001571,6,1,4,66,15,12,55,25,8
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001581,7,4,3,89,9,4,67,11,2
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001591,8,3,1,80,10,6,68,24,1
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001601,9,1,1,81,10,3,73,22,2
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001621,11,1,1,77,6,5,59,27,6
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001631,12,3,3,82,11,6,62,25,3
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001641,13,3,3,72,8,8,63,22,3
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001651,14,6,0,60,10,5,67,30,3
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001661,15,3,2,82,8,9,67,27,0
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001671,16,1,3,73,10,5,75,14,3
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001681,17,2,3,71,8,7,74,28,0
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001691,18,1,3,59,12,6,68,23,1
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001701,19,1,4,70,15,9,69,14,1
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001711,20,0,5,67,17,11,73,22,2
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001721,21,1,2,86,9,3,72,17,2
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001731,22,2,2,64,16,8,77,19,1
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001741,23,1,1,67,14,7,66,38,3
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001751,24,0,1,74,14,7,68,25,0
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001761,25,2,0,80,12,11,66,15,3
1,Cercado,1,Tarija,2680,Tarija,75,U.E. Belgrano,6001771,26,4,0,79,8,10,46,17,0
1,Cercado,1,Tarija,2680,Tarija,76,U.E. San Jorge,6005661,1,2,0,65,6,18,54,22,2
1,Cercado,1,Tarija,2680,Tarija,76,U.E. San Jorge,6005671,2,5,1,57,4,12,65,24,6
1,Cercado,1,Tarija,2680,Tarija,76,U.E. San Jorge,6005681,3,0,3,70,2,6,90,16,6
1,Cercado,1,Tarija,2680,Tarija,76,U.E. San Jorge,6005691,4,8,1,69,12,5,67,28,5
1,Cercado,1,Tarija,2680,Tarija,76,U.E. San Jorge,6005701,5,2,2,51,14,14,65,19,5
1,Cercado,1,Tarija,2680,Tarija,76,U.E. San Jorge,6005721,7,6,0,59,8,5,88,22,5
1,Cercado,1,Tarija,2680,Tarija,76,U.E. San Jorge,6005731,8,3,3,60,15,11,72,21,4
1,Cercado,1,Tarija,2680,Tarija,76,U.E. San Jorge,6005741,9,3,2,63,8,9,78,20,6
1,Cercado,1,Tarija,2680,Tarija,76,U.E. San Jorge,6005751,10,3,1,75,16,4,68,18,4
1,Cercado,1,Tarija,2680,Tarija,76,U.E. San Jorge,6005761,11,5,1,45,12,10,71,16,6
1,Cercado,1,Tarija,2680,Tarija,76,U.E. San Jorge,6005771,12,3,1,62,18,6,68,21,7
1,Cercado,1,Tarija,2680,Tarija,76,U.E. San Jorge,6005781,13,4,2,66,11,7,77,19,5
1,Cercado,1,Tarija,2680,Tarija,76,U.E. San Jorge,6005791,14,4,0,77,11,5,57,22,8
1,Cercado,1,Tarija,2680,Tarija,76,U.E. San Jorge,6005801,15,5,1,61,12,6,60,27,6
1,Cercado,1,Tarija,2680,Tarija,76,U.E. San Jorge,6005811,16,1,2,73,8,11,75,17,10
1,Cercado,1,Tarija,2680,Tarija,76,U.E. San Jorge,6005821,17,3,3,68,13,4,67,20,4
1,Cercado,1,Tarija,2680,Tarija,76,U.E. San Jorge,6005831,18,3,2,71,6,11,59,30,2
1,Cercado,1,Tarija,2680,Tarija,77,U.E. El Portillo,6007841,1,8,2,56,11,12,44,17,7
1,Cercado,1,Tarija,2680,Tarija,77,U.E. El Portillo,6007861,3,12,1,50,5,8,54,23,16
1,Cercado,1,Tarija,2680,Tarija,77,U.E. El Portillo,6007871,4,2,1,51,15,14,50,22,8
1,Cercado,1,Tarija,2680,Tarija,77,U.E. El Portillo,6007881,5,3,3,48,11,6,55,27,8
1,Cercado,1,Tarija,2680,Tarija,77,U.E. El Portillo,6007891,6,10,1,52,11,9,51,16,6
1,Cercado,1,Tarija,2680,Tarija,77,U.E. El Portillo,6007901,7,9,5,64,7,13,40,29,7
1,Cercado,1,Tarija,2680,Tarija,77,U.E. El Portillo,6007911,8,8,2,55,7,6,68,28,10
1,Cercado,1,Tarija,2680,Tarija,77,U.E. El Portillo,6007921,9,10,1,46,15,13,82,16,3
1,Cercado,1,Tarija,2680,Tarija,77,U.E. El Portillo,6007931,10,5,2,50,8,7,53,19,11
1,Cercado,1,Tarija,2680,Tarija,77,U.E. El Portillo,6007941,11,2,1,7,5,3,15,4,2
1,Cercado,1,Tarija,2680,Tarija,78,(Cárcel) Penal de Morros Blancos,6005841,1,17,6,71,11,14,10,10,5
1,Cercado,1,Tarija,2680,Tarija,78,(Cárcel) Penal de Morros Blancos,6005851,2,14,8,66,8,14,9,22,7
1,Cercado,1,Tarija,2680,Tarija,78,(Cárcel) Penal de Morros Blancos,6005861,3,14,7,61,5,15,13,20,11
1,Cercado,1,Tarija,2680,Tarija,79,U.E. San Geronimo,6006051,1,2,1,68,6,4,52,17,3
1,Cercado,1,Tarija,2680,Tarija,79,U.E. San Geronimo,6006061,2,3,3,57,13,8,69,10,4
1,Cercado,1,Tarija,2680,Tarija,79,U.E. San Geronimo,6006091,5,5,2,51,8,6,80,15,4
1,Cercado,1,Tarija,2680,Tarija,79,U.E. San Geronimo,6006101,6,4,0,51,16,8,57,11,1
1,Cercado,1,Tarija,2680,Tarija,79,U.E. San Geronimo,6006111,7,3,2,70,10,7,57,21,3
1,Cercado,1,Tarija,2680,Tarija,79,U.E. San Geronimo,6006121,8,5,1,57,11,7,61,12,3
1,Cercado,1,Tarija,2680,Tarija,79,U.E. San Geronimo,6006131,9,2,0,38,3,8,68,12,4
1,Cercado,1,Tarija,2680,Tarija,79,U.E. San Geronimo,6006141,10,3,0,56,5,5,64,15,3
1,Cercado,1,Tarija,2680,Tarija,79,U.E. San Geronimo,6006151,11,1,1,59,1,9,65,18,1
1,Cercado,1,Tarija,2680,Tarija,79,U.E. San Geronimo,6006161,12,8,1,53,7,8,53,15,2
1,Cercado,1,Tarija,2680,Tarija,79,U.E. San Geronimo,6006171,13,1,0,47,5,4,63,21,5
1,Cercado,1,Tarija,2680,Tarija,79,U.E. San Geronimo,6006181,14,2,0,70,7,4,62,19,2
1,Cercado,1,Tarija,2680,Tarija,79,U.E. San Geronimo,6006191,15,4,5,63,4,9,57,15,5
1,Cercado,1,Tarija,2680,Tarija,79,U.E. San Geronimo,6006201,16,3,1,65,8,2,77,17,1
1,Cercado,1,Tarija,2680,Tarija,79,U.E. San Geronimo,6006211,17,5,1,43,2,3,28,5,2
1,Cercado,1,Tarija,2680,Tarija,80,U.A.J.M.S Campus,6005931,2,3,1,65,15,11,50,16,5
1,Cercado,1,Tarija,2680,Tarija,80,U.A.J.M.S Campus,6005951,4,6,1,64,12,7,35,24,7
1,Cercado,1,Tarija,2680,Tarija,80,U.A.J.M.S Campus,6005961,5,2,2,58,8,5,56,18,5
1,Cercado,1,Tarija,2680,Tarija,80,U.A.J.M.S Campus,6005971,6,3,3,68,10,13,42,18,2
1,Cercado,1,Tarija,2680,Tarija,80,U.A.J.M.S Campus,6005981,7,5,3,54,11,7,54,21,3
1,Cercado,1,Tarija,2680,Tarija,80,U.A.J.M.S Campus,6006001,9,1,2,58,17,11,58,27,6
1,Cercado,1,Tarija,2680,Tarija,80,U.A.J.M.S Campus,6006031,12,5,2,72,4,16,61,17,1
1,Cercado,1,Tarija,2680,Tarija,81,U.E. San Luis,6006241,2,2,0,52,10,7,70,28,6
1,Cercado,1,Tarija,2680,Tarija,81,U.E. San Luis,6006321,10,1,2,27,6,6,38,10,3
1,Cercado,1,Tarija,2680,Tarija,82,U.E. Los Callejones,6006331,1,4,2,61,7,9,65,22,7
