CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,SOMOS,UN,JACHAJAKISASOLFESORC,P.P.,AORA,NGP,PATRIA-ORURO,LIBRE,FRI,APB-SUMATE,A-UPP,PDC
1,Cercado,1,Oruro,2059,Oruro,25046,U.E. Marcelo Quiroga Santa Cruz,4001991,11,10,14,4,50,9,9,14,15,10,1,1,9,12
1,Cercado,1,Oruro,2059,Oruro,25046,U.E. Marcelo Quiroga Santa Cruz,4002001,12,8,16,2,51,7,13,17,13,5,2,5,10,5
1,Cercado,1,Oruro,2059,Oruro,25046,U.E. Marcelo Quiroga Santa Cruz,4002011,13,11,12,1,50,4,8,15,16,13,6,6,9,5
1,Cercado,1,Oruro,2059,Oruro,25046,U.E. Marcelo Quiroga Santa Cruz,4002021,14,16,17,2,54,6,11,22,13,7,2,5,12,2
1,Cercado,1,Oruro,2059,Oruro,25046,U.E. Marcelo Quiroga Santa Cruz,4002031,15,10,11,6,56,3,12,30,22,10,1,1,10,5
1,Cercado,1,Oruro,2059,Oruro,25046,U.E. Marcelo Quiroga Santa Cruz,4002041,16,7,23,4,48,6,5,20,15,12,1,7,12,7
1,Cercado,1,Oruro,2059,Oruro,25046,U.E. Marcelo Quiroga Santa Cruz,4002051,17,9,11,3,64,5,14,19,9,15,2,3,9,4
1,Cercado,1,Oruro,2059,Oruro,25629,U.E. Cristo el Salvador,4002071,1,14,14,3,57,3,11,19,18,7,1,3,7,4
1,Cercado,1,Oruro,2059,Oruro,25629,U.E. Cristo el Salvador,4002091,3,5,13,3,52,1,8,15,14,14,1,2,20,9
1,Cercado,1,Oruro,2059,Oruro,25629,U.E. Cristo el Salvador,4002101,4,12,12,1,62,5,11,7,22,10,2,2,10,7
1,Cercado,1,Oruro,2059,Oruro,25629,U.E. Cristo el Salvador,4002111,5,14,12,1,45,4,15,19,24,11,0,2,8,3
1,Cercado,1,Oruro,2059,Oruro,25629,U.E. Cristo el Salvador,4002121,6,9,9,4,67,3,16,6,24,10,0,2,10,5
1,Cercado,1,Oruro,2059,Oruro,25629,U.E. Cristo el Salvador,4002131,7,12,12,3,42,5,15,19,27,8,0,1,13,7
1,Cercado,1,Oruro,2059,Oruro,25629,U.E. Cristo el Salvador,4002141,8,7,18,1,55,10,11,16,23,14,0,2,6,3
1,Cercado,1,Oruro,2059,Oruro,25629,U.E. Cristo el Salvador,4002151,9,13,12,5,61,1,11,12,25,8,3,4,12,4
1,Cercado,1,Oruro,2059,Oruro,25629,U.E. Cristo el Salvador,4002161,10,12,11,4,62,4,11,11,17,16,1,3,12,5
1,Cercado,1,Oruro,2059,Oruro,25629,U.E. Cristo el Salvador,4002171,11,3,4,1,21,0,5,4,7,3,1,1,2,2
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002291,12,6,6,6,57,7,13,10,21,12,3,3,14,13
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002301,13,10,6,6,45,3,14,19,19,10,2,0,11,2
