CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AGN,LIBRE,PATRIA-UNIDOS,MTS,XS-CH,FRI,NGP,A-UPP
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001061,11,69,13,49,1,26,6,,6
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001071,12,58,17,39,7,22,6,,3
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001081,13,7,4,6,3,4,0,,0
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009511,2,27,11,58,6,4,6,,12
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009521,3,44,7,61,6,11,7,,7
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009531,4,37,12,64,8,12,6,,4
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009551,6,43,9,69,4,12,3,,8
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009581,9,30,11,42,6,9,4,,9
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004331,1,81,31,40,6,12,9,,2
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004341,2,76,21,45,1,11,6,,4
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004351,3,69,27,44,1,12,2,,3
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004361,4,54,28,61,7,19,5,,6
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004371,5,64,21,54,1,14,3,,7
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004381,6,51,19,58,4,18,6,,6
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004391,7,64,22,56,2,13,5,,5
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004401,8,66,25,46,4,18,4,,4
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004411,9,67,29,59,2,12,6,,5
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004431,11,57,31,42,1,24,4,,4
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004441,12,65,26,56,1,14,6,,3
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004451,13,60,28,34,5,16,12,,4
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004461,14,60,33,54,1,12,6,,5
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004471,15,57,20,59,3,9,6,,5
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004491,17,9,3,11,2,7,2,,3
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003751,1,37,12,50,8,13,6,,19
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003761,2,56,17,47,14,13,7,,11
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003771,3,44,18,49,9,18,8,,13
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003781,4,52,20,43,5,17,8,,7
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003791,5,42,10,44,7,12,10,,10
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003801,6,35,18,62,8,9,9,,11
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003811,7,47,19,43,3,16,9,,9
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003821,8,43,20,40,2,24,12,,10
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003831,9,51,15,56,5,12,7,,10
